"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash_refit0","moi_0.300000_iter_5","nonzero",516248,890,267,19744,0.986657338463845,0.956867306387516,0.654819965362549
"fishash_refit10","moi_0.300000_iter_5","full",3979088,1051,79,19782,0.99602235536982,0.949551192819085,1.8418288230896
"fishash_refit10","moi_0.300000_iter_5","nonzero",516436,852,79,19782,0.99602235536982,0.958708927013667,1.8418288230896
"fishash+_poisson","moi_0.300000_iter_5","full",3978589,893,578,19940,0.971829613022712,0.957135314165027,0.330456972122192
"fishash+_poisson","moi_0.300000_iter_5","nonzero",515937,694,578,19940,0.971829613022712,0.9663661917224,0.330456972122192
"fishash_poisson_rawd","moi_0.300000_iter_5","full",3979093,1064,74,19769,0.996270725192763,0.948927182834925,0.269150018692017
"fishash_poisson_rawd","moi_0.300000_iter_5","nonzero",516441,865,74,19769,0.996270725192763,0.95807889890472,0.269150018692017
"fishash+_contingency","moi_0.300000_iter_5","full",3978560,898,607,19935,0.970450783760101,0.956895310324965,1.00488901138306
"fishash+_contingency","moi_0.300000_iter_5","nonzero",515908,699,607,19935,0.970450783760101,0.966123873218959,1.00488901138306
"fishash_refit0","moi_0.300000_iter_6","full",3978914,1102,156,19828,0.992193755004003,0.947348303870043,0.630640983581543
"fishash_refit0","moi_0.300000_iter_6","nonzero",519658,866,156,19828,0.992193755004003,0.958152121387842,0.630640983581543
"fishash_refit10","moi_0.300000_iter_6","full",3979003,1051,67,19879,0.996640930512383,0.949784997611085,1.81887698173523
"fishash_refit10","moi_0.300000_iter_6","nonzero",519747,815,67,19879,0.996640930512383,0.960616603846526,1.81887698173523
"fishash+_poisson","moi_0.300000_iter_6","full",3978539,891,531,20039,0.974185707340788,0.957429526994744,0.53062105178833
"fishash+_poisson","moi_0.300000_iter_6","nonzero",519283,655,531,20039,0.974185707340788,0.968348313520827,0.53062105178833
"fishash_poisson_rawd","moi_0.300000_iter_6","full",3979011,1060,59,19870,0.997039490190175,0.949354992833254,0.272625207901001
"fishash_poisson_rawd","moi_0.300000_iter_6","nonzero",519755,824,59,19870,0.997039490190175,0.960181695177346,0.272625207901001
"fishash+_contingency","moi_0.300000_iter_6","full",3978511,891,559,20039,0.97286144285853,0.957429526994744,0.462491989135742
"fishash+_contingency","moi_0.300000_iter_6","nonzero",519255,655,559,20039,0.97286144285853,0.968348313520827,0.462491989135742
"fishash_refit0","moi_0.300000_iter_7","full",3979076,978,168,19778,0.991577258598215,0.952881094623241,0.549991846084595
"fishash_refit0","moi_0.300000_iter_7","nonzero",474329,768,168,19778,0.991577258598215,0.96262046140368,0.549991846084595
"fishash_refit10","moi_0.300000_iter_7","full",3979189,930,55,19826,0.997233539560384,0.955193678936211,1.82553195953369
"fishash_refit10","moi_0.300000_iter_7","nonzero",474442,720,55,19826,0.997233539560384,0.96495668256595,1.82553195953369
"fishash+_poisson","moi_0.300000_iter_7","full",3978707,787,537,19969,0.973812542670438,0.962083253035267,0.311617136001587
"fishash+_poisson","moi_0.300000_iter_7","nonzero",473960,577,537,19969,0.973812542670438,0.971916674778546,0.311617136001587
"fishash_poisson_rawd","moi_0.300000_iter_7","full",3979199,942,45,19814,0.997734024875371,0.954615532857969,0.251095056533813
"fishash_poisson_rawd","moi_0.300000_iter_7","nonzero",474452,732,45,19814,0.997734024875371,0.964372627275382,0.251095056533813
"fishash+_contingency","moi_0.300000_iter_7","full",3978680,785,564,19971,0.972534696859021,0.962179610714974,0.973742008209229
"fishash+_contingency","moi_0.300000_iter_7","nonzero",473933,575,564,19971,0.972534696859021,0.972014017326974,0.973742008209229
"fishash_refit0","moi_0.300000_iter_8","full",3979099,1178,198,19525,0.989960959286113,0.943100033811525,0.617021799087524
