"model","id","chemistry","regime","purity","mu_level","mu_pert","moi_level","moi","method","jaccard","precision","recall","fdr_pooled","recall_pooled","n_pred","n_true"
"B","B__regime__gastric_organoid_cropseq_GSE280506",NA,"gastric_organoid_cropseq_GSE280506",NA,"cal",86,"low",1,"thresh10",0.793472591501804,0.81296305332793,0.976754468133875,0.541436464088398,0.964303754840882,12489,5939
"B","B__regime__gastric_organoid_cropseq_GSE280506",NA,"gastric_organoid_cropseq_GSE280506",NA,"cal",86,"low",1,"thresh20",0.840710946821969,0.90944253111695,0.925332094885172,0.250211089220377,0.897120727395184,7106,5939
"B","B__regime__gastric_organoid_cropseq_GSE280506",NA,"gastric_organoid_cropseq_GSE280506",NA,"cal",86,"low",1,"ambient",0.611443193132597,0.615215540749389,0.994080856675391,0.737301873198847,0.982320255935343,22208,5939
"B","B__regime__gastric_organoid_cropseq_GSE280506",NA,"gastric_organoid_cropseq_GSE280506",NA,"cal",86,"low",1,"otsu",0.565484615476667,0.573980908929019,0.990978164674805,0.937093275488069,0.981478363360835,92661,5939
"B","B__regime__gastric_organoid_cropseq_GSE280506",NA,"gastric_organoid_cropseq_GSE280506",NA,"cal",86,"low",1,"valley",0.836094628479131,0.963314118987286,0.864988028381267,0.0978577549271637,0.886344502441488,5835,5939
"B","B__regime__gastric_organoid_cropseq_GSE280506",NA,"gastric_organoid_cropseq_GSE280506",NA,"cal",86,"low",1,"fishash",0.705842902219902,0.708008925605925,0.99156546963518,0.493943588856203,0.984845933658865,11558,5939
"B","B__regime__gastric_organoid_cropseq_GSE280506",NA,"gastric_organoid_cropseq_GSE280506",NA,"cal",86,"low",1,"depth_fix",0.615784836002279,0.616646265907357,0.996670239104939,0.707622072250893,0.99208620979963,20152,5939
"B","B__regime__gastric_organoid_cropseq_GSE280506",NA,"gastric_organoid_cropseq_GSE280506",NA,"cal",86,"low",1,"sceptre",0.671466719442134,0.67816672972719,0.987693303551423,0.591163747251968,0.970702138407139,14101,5939
"B","B__regime__invivo_cortex_perturbseq_GSE249416",NA,"invivo_cortex_perturbseq_GSE249416",NA,"cal",365,"high",8.9,"thresh3",0.704289188330473,0.716362028798688,0.976361739096266,0.417364264227047,0.981755704901849,88757,52674
"B","B__regime__invivo_cortex_perturbseq_GSE249416",NA,"invivo_cortex_perturbseq_GSE249416",NA,"cal",365,"high",8.9,"thresh10",0.903833071752142,0.96348869026079,0.935748270894465,0.0477396021699819,0.949747503512169,52535,52674
"B","B__regime__invivo_cortex_perturbseq_GSE249416",NA,"invivo_cortex_perturbseq_GSE249416",NA,"cal",365,"high",8.9,"thresh20",0.890562129715833,0.99443831769285,0.894845476436095,0.00582580233443811,0.916847021300832,48577,52674
"B","B__regime__invivo_cortex_perturbseq_GSE249416",NA,"invivo_cortex_perturbseq_GSE249416",NA,"cal",365,"high",8.9,"ambient",0.881907542171227,0.964543105332172,0.909713484190003,0.0322392853558165,0.915233321942514,49815,52674
"B","B__regime__invivo_cortex_perturbseq_GSE249416",NA,"invivo_cortex_perturbseq_GSE249416",NA,"cal",365,"high",8.9,"otsu",0.901372484688238,0.956136686999438,0.942066210723243,0.132746880508797,0.952671147055473,57862,52674
"B","B__regime__invivo_cortex_perturbseq_GSE249416",NA,"invivo_cortex_perturbseq_GSE249416",NA,"cal",365,"high",8.9,"valley",0.905081460909096,0.998632208018687,0.906048539782057,0.00106712635186439,0.924118160762425,48729,52674
"B","B__regime__invivo_cortex_perturbseq_GSE249416",NA,"invivo_cortex_perturbseq_GSE249416",NA,"cal",365,"high",8.9,"fishash",0.767279411975338,0.998924177610513,0.767597351117501,0.000476224492225635,0.796920681930364,41997,52674
