"method","moi","mu","th","jaccard","precision","recall"
"otsu","lowMOI",50,"th05",0.632821631516517,0.722912685413647,0.837073159473174
"otsu","lowMOI",50,"th15",0.76268052789111,0.804880201083759,0.935903142226267
"otsu","lowMOI",150,"th015",0.622583666645424,0.861724123717576,0.693599577654317
"otsu","lowMOI",150,"th05",0.776231436324248,0.910105141532459,0.841284200413117
"otsu","lowMOI",150,"th15",0.900833264590295,0.935853653798634,0.960243411558053
"otsu","lowMOI",500,"th015",0.688675352928426,0.984470840429521,0.696458115040239
"otsu","lowMOI",500,"th05",0.858528729190726,0.985233429143819,0.869811525155363
"otsu","lowMOI",500,"th15",0.971304061691253,0.991931847046927,0.979043358540643
"ours","highMOI",5,"th015",0.298986163188484,0.356315549281648,0.650748864707554
"ours","highMOI",5,"th05",0.389375899514064,0.473159697735728,0.687806011505816
"ours","highMOI",5,"th15",0.459863105824925,0.54891335454202,0.739395729483663
"ours","highMOI",15,"th015",0.388297316977029,0.465838609302314,0.700884744004375
"ours","highMOI",15,"th05",0.511958424930078,0.59867366598114,0.780400510227833
"ours","highMOI",15,"th15",0.614734599391958,0.66641221656916,0.887851442887402
