"dataset","k","method","n_ambient","n_total"
"replogle-rd7",19,"fishash",18,1203
"replogle-rd7",20,"fishash",16,1026
"replogle-rd7",21,"fishash",8,1017
"replogle-rd7",22,"fishash",6,1024
"replogle-rd7",23,"fishash",6,989
"replogle-rd7",24,"fishash",4,1050
"replogle-rd7",25,"fishash",6,976
"replogle-rd7",26,"fishash",6,966
"replogle-rd7",27,"fishash",2,907
"replogle-rd7",28,"fishash",4,892
"replogle-rd7",29,"fishash",5,876
"replogle-rd7",30,"fishash",6,864
"replogle-rd7",31,"fishash",1,924
"replogle-rd7",32,"fishash",0,850
"replogle-rd7",33,"fishash",3,809
"replogle-rd7",34,"fishash",1,794
"replogle-rd7",35,"fishash",0,788
"replogle-rd7",36,"fishash",1,796
"replogle-rd7",37,"fishash",2,748
"replogle-rd7",38,"fishash",2,767
"replogle-rd7",39,"fishash",0,767
"replogle-rd7",40,"fishash",14,764963
"replogle-rd7",1,"fishash+",12382712,12382712
"replogle-rd7",2,"fishash+",323697,367412
"replogle-rd7",3,"fishash+",12552,62587
"replogle-rd7",4,"fishash+",1136,23008
"replogle-rd7",5,"fishash+",142,11599
"replogle-rd7",6,"fishash+",20,7160
"replogle-rd7",7,"fishash+",2,4764
"replogle-rd7",8,"fishash+",0,3699
"replogle-rd7",9,"fishash+",0,2929
"replogle-rd7",10,"fishash+",0,2498
"replogle-rd7",11,"fishash+",0,2101
"replogle-rd7",12,"fishash+",0,1908
"replogle-rd7",13,"fishash+",0,1766
"replogle-rd7",14,"fishash+",0,1587
"replogle-rd7",15,"fishash+",0,1494
"replogle-rd7",16,"fishash+",0,1419
"replogle-rd7",17,"fishash+",0,1296
"replogle-rd7",18,"fishash+",0,1184
"replogle-rd7",19,"fishash+",0,1203
"replogle-rd7",20,"fishash+",0,1026
"replogle-rd7",21,"fishash+",0,1017
"replogle-rd7",22,"fishash+",0,1024
"replogle-rd7",23,"fishash+",0,989
"replogle-rd7",24,"fishash+",0,1050
"replogle-rd7",25,"fishash+",0,976
"replogle-rd7",26,"fishash+",0,966
"replogle-rd7",27,"fishash+",0,907
"replogle-rd7",28,"fishash+",0,892
"replogle-rd7",29,"fishash+",0,876
"replogle-rd7",30,"fishash+",0,864
"replogle-rd7",31,"fishash+",0,924
"replogle-rd7",32,"fishash+",0,850
"replogle-rd7",33,"fishash+",0,809
"replogle-rd7",34,"fishash+",0,794
"replogle-rd7",35,"fishash+",0,788
"replogle-rd7",36,"fishash+",0,796
"replogle-rd7",37,"fishash+",0,748
"replogle-rd7",38,"fishash+",0,767
"replogle-rd7",39,"fishash+",0,767
"replogle-rd7",40,"fishash+",0,764963
"mccutcheon",1,"fishash",46495,46495
"mccutcheon",2,"fishash",8001,8682
"mccutcheon",3,"fishash",2534,3785
"mccutcheon",4,"fishash",1074,2541
"mccutcheon",5,"fishash",505,1856
"mccutcheon",6,"fishash",301,1519
"mccutcheon",7,"fishash",194,1269
"mccutcheon",8,"fishash",116,1082
"mccutcheon",9,"fishash",77,948
"mccutcheon",10,"fishash",48,824
"mccutcheon",11,"fishash",37,669
"mccutcheon",12,"fishash",17,590
"mccutcheon",13,"fishash",15,520
"mccutcheon",14,"fishash",13,487
"mccutcheon",15,"fishash",13,419
"mccutcheon",16,"fishash",9,372
"mccutcheon",17,"fishash",11,365
"mccutcheon",18,"fishash",7,329
"mccutcheon",19,"fishash",1,271
"mccutcheon",20,"fishash",2,246
"mccutcheon",21,"fishash",0,215
"mccutcheon",22,"fishash",3,205
"mccutcheon",23,"fishash",4,202
"mccutcheon",24,"fishash",0,177
"mccutcheon",25,"fishash",2,162
"mccutcheon",26,"fishash",0,167
"mccutcheon",27,"fishash",0,130
"mccutcheon",28,"fishash",0,126
"mccutcheon",29,"fishash",1,108
"mccutcheon",30,"fishash",1,108
"mccutcheon",31,"fishash",0,89
"mccutcheon",32,"fishash",0,95
"mccutcheon",33,"fishash",0,76
"mccutcheon",34,"fishash",0,71
"mccutcheon",35,"fishash",0,80
"mccutcheon",36,"fishash",0,67
"mccutcheon",37,"fishash",0,59
"mccutcheon",38,"fishash",0,44
"mccutcheon",39,"fishash",0,51
"mccutcheon",40,"fishash",0,889
"mccutcheon",1,"fishash+",46495,46495
"mccutcheon",2,"fishash+",7571,8682
"mccutcheon",3,"fishash+",1926,3785
"mccutcheon",4,"fishash+",671,2541
"mccutcheon",5,"fishash+",249,1856
"mccutcheon",6,"fishash+",116,1519
"mccutcheon",7,"fishash+",72,1269
"mccutcheon",8,"fishash+",36,1082
"mccutcheon",9,"fishash+",29,948
"mccutcheon",10,"fishash+",16,824
"mccutcheon",11,"fishash+",14,669
"mccutcheon",12,"fishash+",5,590
"mccutcheon",13,"fishash+",7,520
"mccutcheon",14,"fishash+",5,487
"mccutcheon",15,"fishash+",5,419
"mccutcheon",16,"fishash+",4,372
"mccutcheon",17,"fishash+",1,365
"mccutcheon",18,"fishash+",4,329
"mccutcheon",19,"fishash+",1,271
"mccutcheon",20,"fishash+",1,246
"mccutcheon",21,"fishash+",0,215
"mccutcheon",22,"fishash+",2,205
"mccutcheon",23,"fishash+",0,202
"mccutcheon",24,"fishash+",0,177
"mccutcheon",25,"fishash+",1,162
"mccutcheon",26,"fishash+",0,167
"mccutcheon",27,"fishash+",0,130
"mccutcheon",28,"fishash+",0,126
"mccutcheon",29,"fishash+",1,108
"mccutcheon",30,"fishash+",1,108
"mccutcheon",31,"fishash+",0,89
"mccutcheon",32,"fishash+",0,95
"mccutcheon",33,"fishash+",0,76
"mccutcheon",34,"fishash+",0,71
"mccutcheon",35,"fishash+",0,80
"mccutcheon",36,"fishash+",0,67
"mccutcheon",37,"fishash+",0,59
"mccutcheon",38,"fishash+",0,44
"mccutcheon",39,"fishash+",0,51
"mccutcheon",40,"fishash+",0,889
"a549",1,"fishash",54819,54819
"a549",2,"fishash",5423,5635
"a549",3,"fishash",2744,3025
"a549",4,"fishash",2140,2485
"a549",5,"fishash",1828,2229
"a549",6,"fishash",1510,1990
"a549",7,"fishash",1291,1837
"a549",8,"fishash",1131,1738
"a549",9,"fishash",938,1541
"a549",10,"fishash",819,1510
"a549",11,"fishash",755,1460
"a549",12,"fishash",619,1331
"a549",13,"fishash",536,1295
"a549",14,"fishash",480,1221
"a549",15,"fishash",440,1209
"a549",16,"fishash",372,1136
"a549",17,"fishash",316,1128
"a549",18,"fishash",306,1108
"a549",19,"fishash",264,1051
"a549",20,"fishash",241,983
"a549",21,"fishash",220,1028
"a549",22,"fishash",186,924
"a549",23,"fishash",169,941
"a549",24,"fishash",148,849
"a549",25,"fishash",138,901
"a549",26,"fishash",118,881
"a549",27,"fishash",101,806
"a549",28,"fishash",101,886
"a549",29,"fishash",79,784
"a549",30,"fishash",72,784
"a549",31,"fishash",71,796
