"dataset","ceil_fishash","ceil_fishashplus"
"barnyard_mch2_0hr",40,3
"barnyard_mch2_0hr",34,2
"barnyard_mch2_0hr",5,2
"barnyard_mch2_0hr",5,2
"barnyard_mch2_0hr",59,2
"barnyard_mch2_0hr",5,2
"barnyard_mch2_0hr",9,4
"barnyard_mch2_0hr",725,2
"barnyard_mch2_0hr",4,3
"barnyard_mch2_0hr",11,2
"barnyard_mch2_0hr",11,3
"barnyard_mch2_0hr",7,4
"barnyard_mch2_0hr",199,2
"barnyard_mch2_0hr",45,3
"barnyard_mch2_0hr",31,2
"barnyard_mch2_0hr",31,3
"barnyard_mch2_0hr",12,3
"barnyard_mch2_0hr",11,3
"barnyard_mch2_0hr",7,4
"barnyard_mch2_0hr",8,2
"barnyard_mch2_72hr",5,2
"barnyard_mch2_72hr",4,2
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",3,2
"barnyard_mch2_72hr",2,2
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",2,2
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",6,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",2,2
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",3,2
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",2,2
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",3,2
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",2,2
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",4,1
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",4,1
"barnyard_mch2_72hr",8,2
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",8,1
"barnyard_mch2_72hr",2,2
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",4,1
"barnyard_mch2_72hr",5,1
"barnyard_mch2_72hr",3,2
"barnyard_mch2_72hr",18,2
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",4,1
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",2,2
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",5,2
"barnyard_mch2_72hr",7,1
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",2,2
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",4,1
"barnyard_mch2_72hr",8,1
"barnyard_mch2_72hr",4,1
"barnyard_mch2_72hr",2,2
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",2,2
"barnyard_mch2_72hr",3,2
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",4,1
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",3,2
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",4,1
"barnyard_mch2_72hr",4,2
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",3,2
"barnyard_mch2_72hr",5,2
"barnyard_mch2_72hr",1,1
"barnyard_mch2_72hr",4,2
"barnyard_mch2_72hr",13,2
"barnyard_mch2_72hr",10,3
"barnyard_mch2_72hr",15,2
"barnyard_mch2_72hr",3,2
"barnyard_mch2_72hr",75,4
"barnyard_mch2_72hr",70,2
"barnyard_mch2_72hr",9,2
"barnyard_mch2_72hr",24,1
"barnyard_mch2_72hr",13,3
"barnyard_mch2_72hr",7,2
"barnyard_mch2_72hr",170,1
"barnyard_mch2_72hr",6,2
"barnyard_mch2_72hr",11,2
"barnyard_mch2_72hr",5,3
"barnyard_mch2_72hr",15,3
"barnyard_mch2_72hr",52,5
"barnyard_mch2_72hr",42,4
"barnyard_mch2_72hr",4,2
"barnyard_mch2_72hr",9,2
"barnyard_mch2_72hr",5069,4
"barnyard_mch2_72hr",2,1
"barnyard_mch2_72hr",32,3
"barnyard_mch2_72hr",5,2
"barnyard_mch2_72hr",12,2
"barnyard_mch2_72hr",6,2
"barnyard_mch2_72hr",10,3
"barnyard_mch2_72hr",138,1
"barnyard_mch2_72hr",17,2
"barnyard_mch2_72hr",5,3
"barnyard_mch2_72hr",9,3
"barnyard_mch2_72hr",9,3
"barnyard_mch2_72hr",3,3
"barnyard_mch2_72hr",3,1
"barnyard_mch2_72hr",17,3
"barnyard_mch2_72hr",2,2
"barnyard_mch2_72hr",10,2
"barnyard_mch2_72hr",24,3
"barnyard_mch2_72hr",6,2
"barnyard_mch2_72hr",28,3
"barnyard_mch2_72hr",2,2
"barnyard_mch2_72hr",11,1
"barnyard_mch2_72hr",3,3
"barnyard_mch2_72hr",185,1
"barnyard_mch2_72hr",10,3
"barnyard_mch2_72hr",31,4
"barnyard_mch2_72hr",6,2
